Natural	ADJamodNOUN	language	0
language	NOUNcompoundNOUN	processing	0
language	NOUNinCOMPOUND	language processing	0
processing	NOUNinCOMPOUND	language processing	0
0	ABOUT	language processing	0
one	NUMrev_nsubjNOUN	processing	0
0	ABOUT	processing	0
(	PUNCTpunctNOUN	nlp	0
nlp	NOUNapposNOUN	processing	0
)	PUNCTpunctNOUN	nlp	0
be	AUXcopNUM	one	0
one	NUM_PREDICATE_OF	0	0
of	ADPcaseNOUN	technology	0
the	DETdetNOUN	technology	0
most	ADVadvmodADJ	important	0
important	ADJamodNOUN	technology	0
technology	NOUNnmodNUM	one	0
to	PARTmarkVERB	arise	0
arise	VERBaclNOUN	technology	0
in	ADPcaseNOUN	year	0
recent	ADJamodNOUN	year	0
arise	VERBrev_oblNOUN	year	0
0	ABOUT	year	0
.	PUNCTpunctNUM	one	0
specifically	ADVadvmodNOUN	year	1
,	PUNCTpunctNOUN	year	1
2019	NUMnsubjNOUN	year	1
have	AUXauxNOUN	year	1
be	AUXcopNOUN	year	1
a	DETdetNOUN	year	1
big	ADJamodNOUN	year	1
year	NOUN_PREDICATE_OF	1	1
for	ADPcaseNOUN	nlp	1
nlp	NOUNnmodNOUN	year	1
with	ADPcaseNOUN	introduction	1
the	DETdetNOUN	introduction	1
introduction	NOUNnmodNOUN	year	1
of	ADPcaseNOUN	model	1
the	DETdetNOUN	model	1
revolutionary	ADJamodNOUN	model	1
BERT	PROPNcompoundNOUN	model	1
BERT	PROPNinCOMPOUND	BERT model	1
model	NOUNinCOMPOUND	BERT model	1
1	ABOUT	BERT model	1
language	NOUNflatPROPN	BERT	1
language	NOUNinCOMPOUND	language BERT	1
BERT	PROPNinCOMPOUND	language BERT	1
1	ABOUT	language BERT	1
representation	NOUNcompoundNOUN	model	1
representation	NOUNinCOMPOUND	representation model	1
model	NOUNinCOMPOUND	representation model	1
1	ABOUT	representation model	1
model	NOUNnmodNOUN	introduction	1
.	PUNCTpunctNOUN	year	1
there	PRONexplVERB	be	2
be	VERB_PREDICATE_OF	2	2
a	DETdetNOUN	variety	2
large	ADJamodNOUN	variety	2
be	VERBrev_nsubjNOUN	variety	2
2	ABOUT	variety	2
of	ADPcaseNOUN	task	2
underlying	ADJamodNOUN	task	2
task	NOUNnmodNOUN	variety	2
and	CCONJccNOUN	model	2
machine	NOUNcompoundVERB	learn	2
machine	NOUNinCOMPOUND	machine learn	2
learn	VERBinCOMPOUND	machine learn	2
2	ABOUT	machine learn	2
learn	VERBamodNOUN	model	2
model	NOUNconjNOUN	task	2
power	VERBaclNOUN	model	2
nlp	NOUNcompoundNOUN	application	2
nlp	NOUNinCOMPOUND	nlp application	2
application	NOUNinCOMPOUND	nlp application	2
2	ABOUT	nlp application	2
power	VERBrev_objNOUN	application	2
2	ABOUT	application	2
.	PUNCTpunctVERB	be	2
recently	ADVadvmodVERB	obtain	3
,	PUNCTpunctVERB	obtain	3
deep	ADJamodNOUN	approach	3
learning	NOUNcompoundNOUN	approach	3
learning	NOUNinCOMPOUND	learning approach	3
approach	NOUNinCOMPOUND	learning approach	3
3	ABOUT	learning approach	3
obtain	VERBrev_nsubjNOUN	approach	3
3	ABOUT	approach	3
have	AUXauxVERB	obtain	3
obtain	VERB_PREDICATE_OF	3	3
very	ADVadvmodADJ	high	3
high	ADJamodNOUN	performance	3
obtain	VERBrev_objNOUN	performance	3
3	ABOUT	performance	3
across	ADPcaseNOUN	task	3
many	ADJamodNOUN	task	3
different	ADJamodNOUN	task	3
nlp	NOUNcompoundNOUN	task	3
nlp	NOUNinCOMPOUND	nlp task	3
task	NOUNinCOMPOUND	nlp task	3
3	ABOUT	nlp task	3
obtain	VERBrev_oblNOUN	task	3
3	ABOUT	task	3
.	PUNCTpunctVERB	obtain	3
Convolutional	PROPNcompoundPROPN	Network	4
Convolutional	PROPNinCOMPOUND	Convolutional Network	4
Network	PROPNinCOMPOUND	Convolutional Network	4
4	ABOUT	Convolutional Network	4
Neural	PROPNcompoundPROPN	Network	4
Neural	PROPNinCOMPOUND	Neural Network	4
Network	PROPNinCOMPOUND	Neural Network	4
4	ABOUT	Neural Network	4
Network	PROPNnsubj:passVERB	associate	4
(	PUNCTpunctPROPN	CNNs	4
CNNs	PROPNapposPROPN	Network	4
)	PUNCTpunctPROPN	CNNs	4
be	AUXaux:passVERB	associate	4
typically	ADVadvmodVERB	associate	4
associate	VERB_PREDICATE_OF	4	4
with	ADPcaseNOUN	vision	4
computer	NOUNcompoundNOUN	vision	4
computer	NOUNinCOMPOUND	computer vision	4
vision	NOUNinCOMPOUND	computer vision	4
4	ABOUT	computer vision	4
associate	VERBrev_oblNOUN	vision	4
4	ABOUT	vision	4
